cohort;Nt;Nt1;avAnnSurv;avAnnRec;avW;BirdID;sex;age;surv;recruits;Eti;sti;fti;pti
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5705;0;6;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5707;0;6;0;1;1.0;-0.007982583454281569;0.012336719883889697;0.004354136429608127
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5709;0;6;1;0;1.0;0.011248185776487663;-0.006894049346879535;0.004354136429608127
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5695;0;5;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5710;0;5;1;0;1.0;0.011248185776487663;-0.006894049346879535;0.004354136429608127
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5711;0;5;1;1;2.0;0.011248185776487663;0.012336719883889697;0.023584905660377357
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5713;0;5;0;2;2.0;-0.007982583454281569;0.031567489114658925;0.023584905660377357
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;4401;0;4;1;0;1.0;0.011248185776487663;-0.006894049346879535;0.004354136429608127
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5717;0;4;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5723;0;4;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5726;0;4;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5737;0;4;1;1;2.0;0.011248185776487663;0.012336719883889697;0.023584905660377357
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5738;1;4;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5739;0;4;1;1;2.0;0.011248185776487663;0.012336719883889697;0.023584905660377357
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5727;0;3;1;0;1.0;0.011248185776487663;-0.006894049346879535;0.004354136429608127
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5731;0;3;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5735;0;3;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5740;0;3;0;1;1.0;-0.007982583454281569;0.012336719883889697;0.004354136429608127
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5742;1;3;0;1;1.0;-0.007982583454281569;0.012336719883889697;0.004354136429608127
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5743;0;3;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5745;0;3;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5749;0;3;1;0;1.0;0.011248185776487663;-0.006894049346879535;0.004354136429608127
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5750;0;3;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5761;0;3;0;1;1.0;-0.007982583454281569;0.012336719883889697;0.004354136429608127
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5748;0;2;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5754;0;2;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5755;0;2;1;0;1.0;0.011248185776487663;-0.006894049346879535;0.004354136429608127
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5756;0;2;0;1;1.0;-0.007982583454281569;0.012336719883889697;0.004354136429608127
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5764;0;2;0;1;1.0;-0.007982583454281569;0.012336719883889697;0.004354136429608127
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5765;0;2;1;0;1.0;0.011248185776487663;-0.006894049346879535;0.004354136429608127
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5768;0;2;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5769;0;2;1;1;2.0;0.011248185776487663;0.012336719883889697;0.023584905660377357
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5783;0;2;0;2;2.0;-0.007982583454281569;0.031567489114658925;0.023584905660377357
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;5784;0;2;0;0;0.0;-0.007982583454281569;-0.006894049346879535;-0.014876632801161103
1995;53;110;0.41509433962264153;0.3584905660377358;0.7735849056603774;4399;0;1;1;0;1.0;0.011248185776487663;-0.006894049346879535;0.004354136429608127
